job_id,job_title,domain,experience_level,job_description,technical_skills,soft_skills,location
JOB00001,Cloud Engineer,Cloud Computing,Intermediate,Design and manage cloud infrastructure.,"AWS, Azure, GCP, Networking, Linux","Problem Solving, Collaboration, Adaptability, Ownership",Bangalore
JOB00002,Mobile App Developer,App Development,Experienced,Develop Android and iOS mobile applications.,"Java, Kotlin, Swift, Flutter","Leadership, Decision Making, Strategic Thinking, Mentorship",Delhi
JOB00003,Finance Analyst,Finance,Fresher,Analyze financial performance.,"Financial Modeling, Excel, Forecasting","Communication, Teamwork, Time Management, Willingness to Learn",Noida
JOB00004,DevOps Engineer,DevOps,Intermediate,Automate deployments and manage CI/CD pipelines.,"Docker, Kubernetes, Jenkins, Linux, AWS","Problem Solving, Collaboration, Adaptability, Ownership",Mumbai
JOB00005,Finance Analyst,Finance,Intermediate,Analyze financial performance.,"Financial Modeling, Excel, Forecasting","Problem Solving, Collaboration, Adaptability, Ownership",Noida
JOB00006,Operations Manager,Operations,Fresher,Oversee operational efficiency.,"Process Optimization, ERP Systems","Communication, Teamwork, Time Management, Willingness to Learn",Gurgaon
JOB00007,NLP Engineer,Artificial Intelligence,Fresher,Build language processing systems.,"SpaCy, NLTK, Transformers, Python","Communication, Teamwork, Time Management, Willingness to Learn",Delhi
JOB00008,Mobile App Developer,App Development,Experienced,Develop Android and iOS mobile applications.,"Java, Kotlin, Swift, Flutter","Leadership, Decision Making, Strategic Thinking, Mentorship",Gurgaon
JOB00009,Customer Support Executive,Customer Support,Fresher,Handle customer issues.,"Ticketing Tools, CRM Systems","Communication, Teamwork, Time Management, Willingness to Learn",Hyderabad
JOB00010,Operations Manager,Operations,Fresher,Oversee operational efficiency.,"Process Optimization, ERP Systems","Communication, Teamwork, Time Management, Willingness to Learn",Noida
JOB00011,NLP Engineer,Artificial Intelligence,Experienced,Build language processing systems.,"SpaCy, NLTK, Transformers, Python","Leadership, Decision Making, Strategic Thinking, Mentorship",Delhi
JOB00012,UI/UX Designer,Design,Experienced,Design intuitive user experiences.,"Figma, Wireframing, Prototyping, UX Research","Leadership, Decision Making, Strategic Thinking, Mentorship",Pune
JOB00013,Customer Support Executive,Customer Support,Intermediate,Handle customer issues.,"Ticketing Tools, CRM Systems","Problem Solving, Collaboration, Adaptability, Ownership",Chennai
JOB00014,Mobile App Developer,App Development,Experienced,Develop Android and iOS mobile applications.,"Java, Kotlin, Swift, Flutter","Leadership, Decision Making, Strategic Thinking, Mentorship",Bangalore
JOB00015,Business Analyst,Analytics,Fresher,Translate business needs into data solutions.,"Excel, SQL, Power BI, Requirement Analysis","Communication, Teamwork, Time Management, Willingness to Learn",Delhi
JOB00016,Mobile App Developer,App Development,Intermediate,Develop Android and iOS mobile applications.,"Java, Kotlin, Swift, Flutter","Problem Solving, Collaboration, Adaptability, Ownership",Gurgaon
JOB00017,Machine Learning Engineer,AI & ML,Experienced,Deploy scalable ML models.,"Scikit-learn, TensorFlow, PyTorch, MLOps","Leadership, Decision Making, Strategic Thinking, Mentorship",Chennai
JOB00018,Cybersecurity Analyst,Cybersecurity,Experienced,Protect systems from cyber threats.,"Networking, SIEM, Kali Linux, Risk Analysis","Leadership, Decision Making, Strategic Thinking, Mentorship",Gurgaon
JOB00019,Business Analyst,Analytics,Intermediate,Translate business needs into data solutions.,"Excel, SQL, Power BI, Requirement Analysis","Problem Solving, Collaboration, Adaptability, Ownership",Kolkata
JOB00020,Digital Marketing Executive,Marketing,Fresher,Execute digital marketing campaigns.,"SEO, Google Analytics, Ads, Content Strategy","Communication, Teamwork, Time Management, Willingness to Learn",Noida
JOB00021,Finance Analyst,Finance,Fresher,Analyze financial performance.,"Financial Modeling, Excel, Forecasting","Communication, Teamwork, Time Management, Willingness to Learn",Delhi
JOB00022,NLP Engineer,Artificial Intelligence,Intermediate,Build language processing systems.,"SpaCy, NLTK, Transformers, Python","Problem Solving, Collaboration, Adaptability, Ownership",Gurgaon
JOB00023,Business Analyst,Analytics,Experienced,Translate business needs into data solutions.,"Excel, SQL, Power BI, Requirement Analysis","Leadership, Decision Making, Strategic Thinking, Mentorship",Gurgaon
JOB00024,Operations Manager,Operations,Intermediate,Oversee operational efficiency.,"Process Optimization, ERP Systems","Problem Solving, Collaboration, Adaptability, Ownership",Noida
JOB00025,Cybersecurity Analyst,Cybersecurity,Fresher,Protect systems from cyber threats.,"Networking, SIEM, Kali Linux, Risk Analysis","Communication, Teamwork, Time Management, Willingness to Learn",Delhi
